2026-07-07 09:59:44 | INFO     | crewai_core.settings | Using config path: C:\Users\DhayalanPanneerselva\.config\crewai\settings.json
2026-07-07 09:59:50 | INFO     | src.agents.mcp_agent | >>> MCP Session Ready. 16 tools active.
2026-07-07 09:59:50 | INFO     | sciparser | Discovered 16 tools for execution.
2026-07-07 09:59:50 | INFO     | sciparser | Starting raw-CDP screenshot stream: user=9638739e-d981-4870-91ca-8f24f4c8157c chat=thread-4ac0c6bd-0cf1-4242-96d6-70aa8746fab7 port=63618
2026-07-07 09:59:50 | INFO     | sciparser | Executing via MCP Tool Graph (Attempt 1)...
2026-07-07 09:59:52 | INFO     | httpx | HTTP Request: POST https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches "HTTP/1.1 201 Created"
2026-07-07 09:59:53 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-07 10:00:00 | INFO     | root | OpenAI API usage: {'prompt_tokens': 554, 'completion_tokens': 1042, 'total_tokens': 1596, 'cached_prompt_tokens': 0, 'reasoning_tokens': 767}
2026-07-07 10:00:01 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-07 10:00:02 | INFO     | httpx | HTTP Request: POST https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches/afde2287-02a1-418d-b684-095be01ccc59/events "HTTP/1.1 200 OK"
2026-07-07 10:00:04 | INFO     | httpx | HTTP Request: PATCH https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches/afde2287-02a1-418d-b684-095be01ccc59/finalize "HTTP/1.1 200 OK"
2026-07-07 10:00:04 | INFO     | crewai_core.settings | Using config path: C:\Users\DhayalanPanneerselva\.config\crewai\settings.json
2026-07-07 10:01:40 | INFO     | sciparser | Cancellation signal sent to task for chat_id thread-4ac0c6bd-0cf1-4242-96d6-70aa8746fab7
2026-07-07 10:01:40 | INFO     | src.agents.mcp_agent | >>> Closing MCP Session for http://localhost:63618...
2026-07-07 10:01:40 | INFO     | sciparser | Task for chat_id thread-4ac0c6bd-0cf1-4242-96d6-70aa8746fab7 unwound via CancelledError (stop message already in DB)
2026-07-07 10:01:42 | INFO     | sciparser | [User 9638739e-d981-4870-91ca-8f24f4c8157c] Browser process closed.
2026-07-07 10:01:42 | INFO     | sciparser | Browser closed for user 9638739e-d981-4870-91ca-8f24f4c8157c via stop_process.
2026-07-07 10:01:42 | INFO     | sciparser | Stop message persisted to DB for chat_id thread-4ac0c6bd-0cf1-4242-96d6-70aa8746fab7
